date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-12:33:56,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,none,50000,random,5,16,512,0.726814,0.145363,0.140449,0.0136193,1,0.215617,5017,0,40,dynamic
2026-05-13-12:33:58,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,none,50000,random,5,16,512,1.96358,0.392717,0.390452,0.00325418,1,0.44739,20226,0,40,dynamic
2026-05-13-12:34:07,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,none,50000,random,5,16,512,7.24123,1.44825,1.44854,0.00744057,1,1.46527,81170,0,40,dynamic
2026-05-13-12:34:26,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,none,50000,random,5,16,512,16.0303,3.20605,3.2032,0.0142134,1,3.22293,180094,0,40,dynamic
2026-05-13-12:34:27,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.5,none,50000,random,5,16,512,0.730172,0.146034,0.146008,0.000209687,1,0.147353,6688,0,40,dynamic
2026-05-13-12:34:29,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,1,none,50000,random,5,16,512,2.25356,0.450711,0.449839,0.00191228,1,0.454193,27104,0,40,dynamic
2026-05-13-12:34:40,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,2,none,50000,random,5,16,512,8.80749,1.7615,1.76191,0.00596462,1,1.76638,108896,0,40,dynamic
2026-05-13-12:35:04,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,3,none,50000,random,5,16,512,19.5925,3.91849,3.91708,0.00966509,1,3.93836,241773,0,40,dynamic
2026-05-13-12:35:05,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,50000,random,5,16,512,0.940212,0.188042,0.185613,0.00630684,1,0.225599,5017,0,40,dynamic
2026-05-13-12:35:08,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,polar,50000,random,5,16,512,2.34142,0.468283,0.468103,0.00243278,1,0.478357,20226,0,40,dynamic
2026-05-13-12:35:16,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,polar,50000,random,5,16,512,6.99561,1.39912,1.39739,0.00479882,1,1.41273,81170,0,40,dynamic
2026-05-13-12:35:33,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,polar,50000,random,5,16,512,13.939,2.78779,2.78553,0.00689721,1,2.80502,180094,0,40,dynamic
2026-05-13-12:35:34,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.5,polar,50000,random,5,16,512,1.12801,0.225601,0.225871,0.000583356,1,0.226196,6688,0,40,dynamic
2026-05-13-12:35:38,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,1,polar,50000,random,5,16,512,2.98358,0.596716,0.597306,0.00107244,1,0.597782,27104,0,40,dynamic
2026-05-13-12:35:48,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,2,polar,50000,random,5,16,512,8.87954,1.77591,1.7763,0.00539557,1,1.77889,108896,0,40,dynamic
2026-05-13-12:36:10,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,3,polar,50000,random,5,16,512,17.6456,3.52911,3.52983,0.00684631,1,3.54149,241773,0,40,dynamic
