date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-12:58:49,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.01,none,50000,random,5,8,512,0.117257,0.0234513,0.0234243,0.000778478,1,0.025834,70,0,40,dynamic
2026-05-13-12:58:50,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.05,none,50000,random,5,8,512,0.479404,0.0958808,0.0954416,0.00222433,1,0.104315,2055,0,40,dynamic
2026-05-13-12:58:51,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.1,none,50000,random,5,8,512,1.11928,0.223856,0.222576,0.00189302,1,0.228596,8628,0,40,dynamic
2026-05-13-12:58:54,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.2,none,50000,random,5,8,512,2.96632,0.593263,0.594818,0.00307317,1,0.601435,33367,0,40,dynamic
2026-05-13-12:58:55,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.01,none,50000,random,5,8,512,0.0985166,0.0197033,0.0197006,9.95243e-05,1,0.0201845,77,0,40,dynamic
2026-05-13-12:58:55,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.05,none,50000,random,5,8,512,0.503617,0.100723,0.100828,0.000248238,1,0.100905,3262,0,40,dynamic
2026-05-13-12:58:57,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.1,none,50000,random,5,8,512,1.2659,0.25318,0.253319,0.000599185,1,0.25331,12837,0,40,dynamic
2026-05-13-12:59:01,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.2,none,50000,random,5,8,512,3.54725,0.70945,0.708721,0.00378663,1,0.711489,47285,0,40,dynamic
2026-05-13-12:59:02,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,50000,random,5,8,512,0.10179,0.020358,0.0202904,0.000353684,1,0.0222455,70,0,40,dynamic
2026-05-13-12:59:03,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,50000,random,5,8,512,0.703316,0.140663,0.140493,0.00399798,1,0.17629,2055,0,40,dynamic
