date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-13:32:36,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,none,50000,random,5,16,256,0.249223,0.0498447,0.0488895,0.00399279,1,0.0535369,465,0,40,dynamic
2026-05-13-13:32:38,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,none,50000,random,5,16,256,1.30489,0.260978,0.259242,0.00434983,1,0.323813,12961,0,40,dynamic
2026-05-13-13:32:42,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,none,50000,random,5,16,256,3.29261,0.658522,0.655813,0.00476129,1,0.669094,51468,0,40,dynamic
2026-05-13-13:32:56,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,none,50000,random,5,16,256,12.2874,2.45749,2.45197,0.0123208,1,2.46502,195439,0,40,dynamic
2026-05-13-13:32:57,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.01,none,50000,random,5,16,256,0.243513,0.0487026,0.0487233,0.000166016,1,0.0493562,538,0,40,dynamic
2026-05-13-13:32:58,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.05,none,50000,random,5,16,256,1.36902,0.273805,0.273737,0.000923124,1,0.276544,17828,0,40,dynamic
2026-05-13-13:33:03,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.1,none,50000,random,5,16,256,3.9317,0.786339,0.786898,0.00387725,1,0.790107,68325,0,40,dynamic
2026-05-13-13:33:21,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.2,none,50000,random,5,16,256,15.1011,3.02022,3.01889,0.0172982,1,3.02403,251561,0,40,dynamic
2026-05-13-13:33:23,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,polar,50000,random,5,16,256,0.28774,0.0575481,0.0572072,0.000778945,1,0.0630041,465,0,40,dynamic
2026-05-13-13:33:25,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,polar,50000,random,5,16,256,1.92382,0.384763,0.383413,0.00316948,1,0.394971,12961,0,40,dynamic
2026-05-13-13:33:31,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,polar,50000,random,5,16,256,4.6387,0.927739,0.924843,0.00622782,1,0.937915,51468,0,40,dynamic
2026-05-13-13:33:48,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,polar,50000,random,5,16,256,13.9981,2.79961,2.79099,0.0169609,1,2.81401,195439,0,40,dynamic
2026-05-13-13:33:48,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.01,polar,50000,random,5,16,256,0.37642,0.075284,0.0753044,0.000303671,1,0.0759491,538,0,40,dynamic
2026-05-13-13:33:51,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.05,polar,50000,random,5,16,256,2.31916,0.463833,0.462466,0.0021997,1,0.468732,17828,0,40,dynamic
2026-05-13-13:33:58,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.1,polar,50000,random,5,16,256,5.81727,1.16345,1.16006,0.0065555,1,1.16625,68325,0,40,dynamic
2026-05-13-13:34:19,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.2,polar,50000,random,5,16,256,17.2299,3.44598,3.44308,0.016436,1,3.45398,251561,0,40,dynamic
2026-05-13-13:34:23,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,cartesian,50000,random,5,16,256,0.184391,0.0368782,0.0365855,0.000512985,1,0.0432219,465,0,40,dynamic
2026-05-13-13:34:25,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,cartesian,50000,random,5,16,256,1.78496,0.356993,0.357994,0.00468885,1,0.369564,12961,0,40,dynamic
2026-05-13-13:34:31,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,cartesian,50000,random,5,16,256,4.40018,0.880035,0.876246,0.0069296,1,0.886565,51468,0,40,dynamic
